_id,name,mean,use_1,use_2,use_3,use_4,use_5,use_6,classification_1,classification_2,classification_3,classification_4,classification_5,classification_6,structure_1,structure_2,structure_3,structure_4,structure_5,structure_6,structure_7,example_1,example_2,example_3,example_4,example_5,example_6,example_7,sign_1,sign_2,sign_3,sign_4,sign_5,sign_6,__v
6669701184e200443dd144cb,Hiện tại đơn,"Thì hiện tại đơn được dùng để diễn tả một sự thật hiển nhiên hoặc 1 hành động lặp đi lặp lại theo thói quen,…",Diễn tả một thói quen hay hành động được lặp đi lặp lại.,Diễn tả một sự thật hiển nhiên.,"Diễn tả sự việc đã có kế hoạch từ trước và sẽ xảy ra trong tương lai (thời gian biểu, lịch trình định sẵn, thời khóa biểu).","Diễn tả khả năng, năng lực của một người.",Dùng trong câu điều kiện loại 1 mệnh đề “if”.,,,,,,,,S + V(s/es) + O.,S + am/ are/ is + N/ Adj.,S + don’t/ doesn’t + V + O.,S + am/ are/ is + not + N/ Adj.,Do/Does + V + O?,Am/ Are/ is + S + N/ Adj?,WH-word + am/ are/ is + S +…?,I like music.,I am a dancer.,I don't like music.,I am not a dancer.,Do you like music?,Are you a dancer?,What is your name?,,,,,,,0
6669701184e200443dd144cc,Hiện tại tiếp diễn,"Thì hiện tại tiếp diễn là thì được dùng để diễn tả sự việc hay hành động xảy ra ngay vào thời điểm nói hoặc xoay quanh thời điểm nói, và hành động đó vẫn chưa chấm dứt trong thời điểm nói.",Diễn tả một hành động đang xảy ra ở thời điểm nói (hoặc không nhất thiết ở thời điểm nói nhưng được duy trì đều đặn ở hiện tại).,Diễn tả hành động được lên kế hoạch và sắp xảy ra.,"Diễn tả hành động được lặp đi lặp lại nhiều lần, hành động này gây khó chịu cho người nói.",Diễn tả một sự thay đổi theo chiều hướng phát triển hơn.,,,,,,,,,S + am/ are/ is + Ving + O.,S + am/ are/ is + not + Ving + O.,Am/ are/ is + S + Ving + O?,,,,,I am listening to music.,I am not listening to music.,Are you listening to music?,,,,,,,,,,,0
6669701184e200443dd144cd,Hiện tại hoàn thành,"Thì hiện tại hoàn thành được dùng để mô tả những hành động diễn ra trong quá khứ, kéo dài đến thời điểm hiện tại hoặc trong cả tương lai. Thì này được dùng để nhấn mạnh kết quả của hành động cho đến hiện tại, thường đi cùng các trạng từ chỉ thời gian như: for, since, until,…",Diễn tả sự việc đã diễn ra nhưng không xác định rõ thời điểm.,"Diễn tả hành động, sự việc nào đó vừa mới xảy ra.","Diễn tả hành động, sự việc đã xảy ra ở trong quá khứ và vẫn kéo dài đến hiện tại, có thể còn diễn ra trong tương lai.","Diễn tả một trải nghiệm, kinh nghiệm từ quá khứ.",,,,,,,,,S + have/ has + Ved/V3 + O.,S + have/ has + not + Ved/V3 + O.,Have/ has + S + Ved/V3 + O?,Wh-word + have/ has + S + Ved/V3?,,,,My family has lived in Viet Nam for 3 years.,Tung has not seen Teo since 2022.,Has Thuy completed her task?,Where has our daughter gone?,,,,,,,,,,0
6669701184e200443dd144ce,Hiện tại hoàn thành tiếp diễn,"Thì hiện tại hoàn thành tiếp diễn được dùng để mô tả hành động hoặc sự việc bắt đầu trong quá khứ, kéo dài cho đến thời điểm hiện tại và có thể tiếp tục diễn ra trong tương lai. Thay vì nhấn mạnh kết quả của hành động, loại thì này được dùng chủ yếu để nhấn mạnh quá trình của hành động.","Diễn tả hành động, sự việc bắt đầu từ quá khứ và tiếp tục diễn ra ở thời điểm hiện tại (nhấn mạnh vào tính liên tục của hành động).","Diễn tả hành động, sự việc đã xảy ra, vừa mới kết thúc nhưng kết quả của hành động, sự việc đó vẫn có thể nhìn thấy được ở hiện tại (nhấn mạnh vào kết quả của hành động).","Thường không sử dụng với các động từ chỉ trạng thái như “have”, “be” hoặc “know”.",,,,,,,,,,S + have/ has + been + Ving + O.,S + have/ has + not + been + Ving + O.,Have/ has + S + been + Ving + O?,,,,,She has been working on this project all day.,I haven’t been feeling well lately.,Has she been waiting for us?,,,,,,,,,,,0
6669701184e200443dd144cf,Quá khứ đơn,"Thì quá khứ đơn được dùng để diễn tả các sự việc đã xảy ra và đã kết thúc tại một thời điểm xác định trong quá khứ. Dấu hiệu nhận biết của thì này là các trạng từ: yesterday, ago, last week, last night, last month,…","Diễn tả một sự việc, hành động đã diễn ra tại thời điểm cụ thể trong quá khứ và đã kết thúc ở quá khứ.`Diễn tả một hành động, sự việc lặp đi lặp lại ở quá khứ.",Diễn tả các hành động xảy ra liên tiếp ở quá khứ.,Diễn tả một hành động xen vào giữa một hành động đang xảy ra trong quá khứ.,Dùng cho câu ước không có thật và câu điều kiện loại II.,Dùng khi muốn miêu tả một sự kiện lịch sử.,Dùng khi hành động xảy ra một cách rõ ràng tại một thời điểm xác định ngay cả khi thời điểm đó không được đề cập đến.,,,,,,,S + V2/ Ved + O.,S + was/ were + N/ Adj.,S + did not/ didn’t + V + O.,S + was/ were + not + N/ Adj.,Did + S + V + O?,Was/ Were + S +  N/ Adj?,WH-word + was/ were + S (not) +  N/ Adj?,She visited her grandparents.,He was a teacher.,She did not go to the market.,He was not a doctor.,Did she visit her grandparents?,Were they happy?,Why was she not happy?,,,,,,,0
6669701184e200443dd144d0,Quá khư tiếp diễn,"Thì quá khứ tiếp diễn được dùng để nói về các hành động đồng thời diễn ra tại thời điểm xác định trong quá khứ, hoặc hành động đang diễn ra thì bị một hành động, sự việc khác chen ngang.",Diễn tả hành động đang xảy ra tại 1 thời điểm cụ thể trong quá khứ.,Diễn tả các hành động xảy ra đồng thời ở trong quá khứ.,Diễn tả một hành động đang xảy ra thì có một hành động khác xen vào.,Diễn tả hành động đã từng lặp đi lặp lại trong quá khứ và làm phiền người khác.,,,,,,,,,S + was/ were + Ving + O.,S + was/ were + not + Ving + O.,Was/ were + S + Ving + O?,,,,,She was reading a book.,She was not reading a book.,Was she reading a book?,,,,,,,,,,,0
6669701184e200443dd144d1,Quá khứ hoàn thành,Thì quá khứ hoàn thành là thì được dùng để diễn tả một hành động xảy ra trước hành động khác trong quá khứ.,"Diễn tả một hành động, sự việc đã xảy ra và hoàn thành trước một hành động, sự việc khác trong quá khứ.","Diễn tả một hành động, sự việc đã xảy ra và kéo dài đến một thời điểm nhất định trong quá khứ.","Diễn tả một hành động, sự việc xảy ra trước một thời điểm nhất định ở trong quá khứ.",Diễn tả hành động xảy ra được xem như điều kiện đầu tiên cho một hành động khác trong quá khứ.,Diễn tả điều kiện không tồn tại trong quá khứ của câu điều kiện loại 3.,Bày tỏ sự thất vọng đối với sự việc nào đó đã xảy ra trong quá khứ.,,,,,,,S + had + Ved/V3 + O.,S + had + not + Ved/V3 + O.,Had + S + Ved/V3 + O?,,,,,He had finished his homework.,He had not finished his homework.,Had he finished his homework?,,,,,,,,,,,0
6669701184e200443dd144d2,Quá khứ hoàn thành tiếp diễn,"Thì quá khứ hoàn thành tiếp diễn được dùng khi bạn muốn nhấn mạnh tính tiếp diễn của một hành động, sự việc diễn ra trước một hành động khác ở trong quá khứ.",Diễn tả quá trình 1 hành động đã xảy ra trong quá khứ và kéo dài liên tục đến 1 thời điểm khác trong quá khứ.,Diễn tả một hành động hoặc sự việc nào đó là nguyên nhân của hành động hay sự việc khác trong quá khứ.,Diễn tả một hành động xảy ra trước hành động khác ở trong quá khứ (nhấn mạnh tính tiếp diễn của hành động ngay trước hành động sau).,"Diễn tả một hành động hay sự việc nào diễn ra để làm tiền đề cho một hành động, sự việc khác.",,,,,,,,,S + had + been + Ving + O.,S + had + not + been + Ving + O.,Had + S + been + Ving + O?,,,,,She had been studying English for three years.,She had not been studying English for three years.,Had she been studying English for three years?,,,,,,,,,,,0
6669701184e200443dd144d3,Tương lai đơn,"Thì tương lai đơn là thì được dùng khi không có kế hoạch làm gì trước khi chúng ta nói, diễn tả quyết định tự phát ngay tại thời điểm nói.",Để nói về các kế hoạch được quyết định ngay vào thời điểm nói.,"Đưa ra các lời đề nghị, yêu cầu, đề nghị, lời hứa.",Diễn đạt một dự đoán không chắc chắn hoặc không có căn cứ.,Đưa ra lời đe dọa hoặc cảnh báo.,,,,,,,,,S + will/ shall + V + O.,S + will/ shall + not + V + O.,Will/Shall + S + V + O?,,,,,We shall meet at the park.,We shall not meet at the park.,Shall we meet at the park?,,,,,,,,,,,0
6669701184e200443dd144d4,Tương lai gần,"Thì tương lai gần được dùng để nói về các quyết định hoặc kế hoạch đã được chuẩn bị từ trước, diễn đạt một dự định chưa được thực hiện trong quá khứ hoặc thể hiện một dự đoán nào đó.",Diễn tả một hành động nào đó sắp xảy ra ở tương lai gần.,Diễn tả dự đoán của người nói (có dự tính từ trước hoặc khả năng xảy ra cao).,Diễn tả một dự định từ trong quá khứ vẫn chưa được thực hiện.,,,,,,,,,,S + be + going to + V + O.,S + be + not + going to + V + O.,Be + S + going to + V + O?,,,,,She is going to buy a new car.,She is not going to buy a new car.,Is she going to buy a new car?,,,,,,,,,,,0
